LocalTime,ModelTw_U,ModelTw_R,ModelUHICom,ModelUDICom,ObsTw_U,ObsTw_R,ObsDeltaTw,ObsDeltaTw_std,ObsUHICom,ObsUHICom_std,ObsUDICom,ObsUDICom_std
0,14.45983618,13.75267174,0.766805573,-0.057243986,14.68269878,13.61513983,1.067558946,0.322237438,1.223919959,0.376221338,-0.11616065,0.039124391
1,14.14891851,13.45806749,0.736995023,-0.043589,14.45741044,13.30000111,1.157409326,0.355794096,1.22666555,0.391265562,-0.022813765,0.020841837
2,13.84448987,13.16514432,0.709430408,-0.027122285,14.23659084,13.02951803,1.207072806,0.35169183,1.198408395,0.376588678,0.060465424,0.009911959
3,13.57975192,12.91767806,0.682790882,-0.01765188,14.04533251,12.76839393,1.276938578,0.402580838,1.185814884,0.393681157,0.149052378,0.043307308
4,13.43574208,12.93467072,0.582049268,-0.0818951,13.85091985,12.55859065,1.292329197,0.4158406,1.171402049,0.393123324,0.181818536,0.065469472
5,13.67484648,13.58694628,0.316038804,-0.232270364,13.78123172,12.67627661,1.104955107,0.420624318,1.049165319,0.393792654,0.107554304,0.065944037
6,14.36633417,14.51063059,0.104853804,-0.250364378,13.99737549,13.56797171,0.42940378,0.21496292,0.711225599,0.270048452,-0.258703094,0.058341317
7,15.22807258,15.424947,0.0342537,-0.23043775,14.36600919,14.56060607,-0.194596878,0.075489362,0.271586996,0.05816877,-0.457643417,0.114990796
8,16.01442831,16.20110973,0.030876711,-0.216195811,14.79881216,15.22664941,-0.427837248,0.175176867,0.067144278,0.053598642,-0.485731323,0.127217826
9,16.65680771,16.80127341,0.062360074,-0.205392682,15.21387506,15.66241985,-0.448544794,0.219875185,0.01482734,0.102805295,-0.453264026,0.118103245
10,17.11639104,17.20245505,0.102846155,-0.187698408,15.52530846,15.94823946,-0.422931007,0.235536685,0.035785317,0.122952358,-0.448224645,0.109081975
11,17.45404713,17.47633338,0.148109496,-0.169139934,15.72101623,16.14896268,-0.427946454,0.244212321,0.041887688,0.148073989,-0.458669355,0.095536992
12,17.7032883,17.68914275,0.187983905,-0.172385077,15.94405399,16.29798562,-0.35393163,0.231944749,0.087134261,0.148477167,-0.430682002,0.087313091
13,17.87452886,17.84822892,0.222927957,-0.194709517,16.10151987,16.42730682,-0.325786953,0.239594386,0.133951406,0.146858555,-0.448843873,0.10625162
14,17.98100498,17.95850407,0.258861888,-0.233648451,16.19777889,16.53310887,-0.335329989,0.253453694,0.140672499,0.165409995,-0.46480912,0.105884918
15,17.96856939,17.98298292,0.297747675,-0.308542263,16.26270927,16.57676091,-0.314051641,0.229499633,0.182855604,0.150466983,-0.485895376,0.103232137
16,17.85986765,17.94560905,0.352711991,-0.433190734,16.30270526,16.59716978,-0.294464521,0.242298328,0.206030802,0.167357352,-0.490031062,0.105360544
17,17.61276652,17.8584478,0.445289798,-0.682082892,16.25112427,16.55744078,-0.306316513,0.21116718,0.254066235,0.147981231,-0.549115055,0.11880511
18,17.30558634,17.5752329,0.643413081,-0.901993353,16.10376471,16.40109395,-0.297329245,0.210809607,0.283710956,0.129616062,-0.569701096,0.126979578
19,16.88618471,16.55958766,0.886961814,-0.561334431,15.87385477,16.19479296,-0.320938188,0.168065712,0.397207663,0.118067781,-0.705583656,0.181085695
20,16.28465837,15.48856787,0.976349019,-0.176898933,15.64482416,15.65838521,-0.013561052,0.141207756,0.732206107,0.233041237,-0.734464334,0.18684062
21,15.68385226,14.89632697,0.909121188,-0.118420472,15.38881774,14.92274334,0.466074399,0.213995109,1.045072516,0.32956452,-0.564489669,0.125420571
22,15.2104416,14.45933522,0.84935505,-0.095833606,15.1494279,14.40123601,0.748191897,0.258996318,1.174782243,0.356312412,-0.402623633,0.088209615
23,14.80224237,14.07387633,0.806161517,-0.0753777,14.9232634,14.00474058,0.918522819,0.293818824,1.209979795,0.370890498,-0.258609002,0.064185605
