LocalTime,ModelTw_U,ModelTw_R,ModelDeltaTw_std,ModelUHICom,ModelUHICom_std,ModelUDICom,ModelUDICom_std
0,22.50405679,22.26064594,0.335710245,0.256368262,0.168902569,-0.009531255,0.212343864
1,22.33877217,22.09784429,0.338189886,0.240988308,0.163147242,0.003606632,0.215467937
2,22.21220129,21.9800334,0.33653347,0.22764102,0.163239979,0.008621716,0.213462189
3,22.05570568,21.83383971,0.333135094,0.217180206,0.16332474,0.009025445,0.208126
4,21.93766278,21.7332016,0.337945236,0.199489454,0.155730698,0.009132511,0.215790801
5,22.01186934,21.92994242,0.357242886,0.127517979,0.149086725,-0.04143625,0.233610617
6,22.35886236,22.50415175,0.320615943,-0.014700753,0.117008042,-0.124156159,0.215094257
7,22.83715302,22.91026566,0.283683891,-0.015260075,0.095777567,-0.051010655,0.211144348
8,23.35418717,23.36292328,0.281155749,0.031604731,0.065852199,-0.036704995,0.232672948
9,24.12649712,24.08137351,0.316678807,0.051950934,0.069034465,-0.003687666,0.280391759
10,24.6694265,24.55163117,0.365352059,0.096952638,0.083875952,0.024077248,0.337250857
11,25.01123371,24.83381697,0.416040469,0.138139403,0.081482431,0.040948559,0.399889508
12,25.31288212,25.11498947,0.441897374,0.155672023,0.080815485,0.043278234,0.428299363
13,25.41816855,25.22036259,0.453213573,0.17611003,0.09750993,0.022837765,0.435379953
14,25.35500515,25.18620922,0.444714966,0.199224767,0.102564793,-0.030053639,0.419672841
15,25.18553744,25.06354855,0.404815809,0.220525717,0.105390058,-0.099177372,0.376243726
16,24.81638973,24.74921021,0.349411868,0.246246147,0.121162667,-0.180235207,0.305795953
17,24.33149962,24.35214763,0.294511531,0.278795779,0.140630738,-0.300467157,0.232081514
18,23.90444691,23.78739799,0.372745969,0.37226446,0.205062787,-0.255595081,0.238389086
19,23.61802746,23.2975727,0.445011556,0.390282477,0.216903974,-0.067829238,0.297034758
20,23.4543457,23.11156945,0.441506744,0.342040802,0.203268384,0.003948176,0.303400024
21,23.19565558,22.88034983,0.410297849,0.317407149,0.207154849,0.002143594,0.272543799
22,22.83998813,22.58025698,0.362555952,0.292947387,0.189985074,-0.029816959,0.230853444
23,22.65133316,22.41194431,0.343600408,0.27258334,0.177592522,-0.030167713,0.214086633
