ModelDeltaTw,ModelUHICom,ModelUDICom
-1.612688406,-0.363183836,-0.93300817
-0.88388162,0.306159092,-1.114995622
-0.630953188,0.205378696,-0.720619084
-0.463875106,0.30174422,-0.693898452
-0.263701977,0.160088837,-0.40382353
-0.227458147,-0.310380296,0.075324381
-0.002940762,-0.04705695,0.03240496
0.060015088,0.308508895,-0.215900353
0.064550917,0.226922864,-0.166936498
0.10261131,0.246005916,-0.139499828
0.1727175,0.320074263,-0.154855542
0.203092394,0.334782669,-0.118846859
0.204797441,0.356785628,-0.150037013
0.588036017,0.501927369,0.082024376
