ModelDeltaTw,ModelUHICom,ModelUDICom
-0.543672204,0.049162997,-0.594927165
-0.538060798,0.158277401,-0.690773572
-0.256120168,0.18186516,-0.453083036
-0.19312254,-0.204001568,0.049015037
0.033414518,0.028080014,0.009586887
0.056283018,0.11504712,-0.066585553
0.073179727,0.300356531,-0.244937664
0.147170001,0.185747216,-0.060462838
0.178855731,0.112028147,0.065253601
0.186169358,-0.010528108,0.205174007
0.288059667,0.371169987,-0.019267917
0.405151006,0.101183328,0.296686032
0.444776646,0.264561362,0.190294345
0.584490545,0.102018225,0.469552971
0.661417053,0.339633225,0.299242315
0.687865718,0.287194316,0.382998504
