City,DeltaTw,UHI Com,UDI Com,Number of Pairs
"Phoenix, AZ",-1.683918392,0.126581658,-1.728591371,1
"Phoenix, AZ",-1.632794574,-0.16773822,-1.39158208,1
"Phoenix, AZ",-0.685142453,0.375352029,-1.036085462,1
La Verriere,-0.47497828,-0.141703373,-0.317643364,1
Aix-en-Provence,-0.16882412,-0.014113569,-0.14663637,1
Lugo,-0.120780658,0.40839283,-0.524385251,1
Perth,0.151049601,-0.608503026,0.769193798,1
Girona,0.170236165,0.239682569,-0.061474298,1
Melbourne,0.192870005,0.481848187,-0.266421929,1
Melbourne,0.320071166,0.3187263,0.021435385,1
Santiago,0.388451524,0.087544206,0.3070629,2
Adelaide,0.607515795,-0.359198007,1.024356492,1
"San Jose, CA",0.664259299,0.426925764,0.282824956,1
Adapazar,0.980040501,0.377872885,0.628893771,1
