City,DeltaTw,UHI Com,UDI Com,Number of Pairs
Curitiba,-1.534663342,-0.160733783,-1.208386497,1
Accra,-1.510748045,-0.510556576,-0.95268595,1
Ningxiang,-1.432221971,0.131893449,-1.512826492,1
Xingyang,-1.337411794,0.092284524,-1.376864205,1
Quebec City,-1.173568105,-0.24741717,-0.884035214,1
"New Orleans, LA",-1.096173183,0.438810479,-1.50190749,1
Hamilton,-1.026982583,-0.178441139,-0.796562258,1
"Houston, TX",-0.963389171,0.439175507,-1.363155617,1
Xixia County,-0.889673251,-0.1926759,-0.661672351,1
Rustenburg,-0.825818355,-0.477813358,-0.304007663,1
Maringa,-0.787686919,-0.231639119,-0.528539171,1
Qiyang County,-0.77114847,-0.013434566,-0.718774808,1
Kanchanaburi,-0.643694627,0.121112998,-0.749460842,1
Laizhou,-0.634504881,0.086425536,-0.690876242,1
Jinzhou,-0.60721859,0.117747394,-0.702936622,1
Frankfurt,-0.587123338,0.004051925,-0.575063319,1
Montbeliard,-0.583243264,0.123501492,-0.687531841,1
Bloemfontein,-0.561351942,-0.258837227,-0.28747027,1
Kumasi,-0.51882909,0.027464081,-0.537953,1
Petrolina,-0.470046482,0.279059282,-0.740247307,1
Liuyang,-0.46074698,-0.130870858,-0.312780444,1
Montreal,-0.439875696,0.119086914,-0.547269774,1
Qufu,-0.416967608,-0.012664487,-0.389695748,1
Itapeva,-0.4138117,0.06097872,-0.465160055,1
Stuttgart,-0.400720444,0.273272146,-0.65792505,1
Linz,-0.400119871,-0.098611582,-0.293666641,1
Junan County,-0.352211292,-0.02548261,-0.316558508,1
Jinan,-0.338697048,0.23816373,-0.566383619,1
Toronto,-0.335534394,0.291896894,-0.620663287,2
Gaomi,-0.325176412,0.233991898,-0.542341119,1
"Harrisburg, PA",-0.3228236,0.300001041,-0.61281169,4
Vienna,-0.288693882,0.100627534,-0.38091938,1
Lankao County,-0.278347247,-0.197276027,-0.067552086,1
Berlin,-0.249315133,0.173562138,-0.41335613,2
Paris,-0.243105522,0.205892063,-0.436345871,1
Huairen,-0.238337844,0.065527717,-0.295607314,1
Zhoukou,-0.233497019,0.304789431,-0.531654185,1
Anlu,-0.229643756,-0.053648573,-0.162593056,1
"Oklahoma City, OK",-0.203713373,0.056304644,-0.256123262,1
Sheffield,-0.184438672,0.132125684,-0.309888772,1
Wulian County,-0.170977627,0.108304214,-0.266963773,1
Xihua County,-0.153706144,0.099781814,-0.241472356,1
Uppsala,-0.135206433,0.074289696,-0.206368336,1
Munich,-0.113069406,0.285141674,-0.390278796,1
"Rochester, MN",-0.105711217,-0.246336151,0.149391946,1
Zhuozhou,-0.105315326,0.048747227,-0.137043155,1
Nakhon Ratchasima,-0.080253493,0.079782643,-0.130704084,1
Zacatecas,-0.075598467,-0.081844756,0.015613233,1
Strasbourg,-0.066941895,-0.213216069,0.151839991,1
Songzi,-0.058557846,-0.089765042,0.048932468,1
Birmingham,-0.051317683,0.062798923,-0.110463203,15
Anshan,-0.048796304,0.548210795,-0.579290014,1
Tianjin,-0.041018599,-0.082269417,0.049858709,1
London,-0.037656941,0.160861868,-0.189298754,1
Tianjin,0.008258696,-0.161414053,0.188715167,1
Moscow,0.028290621,0.248463213,-0.213254205,1
Yuncheng County,0.032059573,0.035449991,0.006780363,1
Pori,0.033057451,-0.370363841,0.413402356,1
Winnipeg,0.046595875,0.099136005,-0.046795035,1
Longxi County,0.049324463,0.267848098,-0.206088671,1
Stockholm,0.054570081,0.248293454,-0.187630461,1
Changyuan,0.078429748,-0.017297843,0.109246321,1
"Springdale, AR",0.098859973,-0.228479995,0.340922007,1
Dar es Salaam,0.105404024,0.023533131,0.086468356,1
Graz,0.117669677,0.241527563,-0.113738587,1
"St. Louis, MI",0.179364698,0.248785168,-0.062423135,1
Oslo,0.196391539,-0.042282686,0.25096467,1
Georgiyevsk,0.22696308,0.190593119,0.043442946,1
Brisbane,0.254259266,-0.700022044,0.968137046,1
Zurich,0.279935555,0.149826226,0.138007937,1
Jena,0.288513233,0.308069497,-0.011454683,1
Shaoxing,0.349672494,0.054151238,0.306918917,1
Kampala,0.387303937,0.22353891,0.171102212,1
Puebla,0.428821034,0.247500333,0.190648675,1
Oslo,0.462035155,0.254770775,0.223492255,1
Sarpsborg,0.464734431,0.263436583,0.221761384,1
Rovaniemi,0.514885434,0.203584208,0.317773115,1
Linfen,0.640759706,0.331840282,0.342862228,1
Limoges,0.781916596,0.58559811,0.224292694,1
Cordoba,0.904034337,0.348891721,0.584588248,1
Gothenburg,1.025555377,0.248402816,0.803005397,1
Morelia,1.089389657,0.365808693,0.761955398,1
