City,DeltaTw,UHI Com,UDI Com,Number of Pairs
Manaus,-0.606511037,0.080345017,-0.671931992,1
Guilin,-0.549798151,0.102350223,-0.635095047,1
Surin,-0.52331637,-0.068468371,-0.43399551,1
Guadalajara,-0.518779216,0.09372116,-0.598617929,1
Guangzhou,-0.489736037,-0.023822911,-0.453704907,1
Yangchun,-0.464657298,-0.109992777,-0.340572987,1
Presidente Prudente,-0.381832766,-0.11768904,-0.252621176,1
Foshan,0.029902188,0.011645217,0.029674131,1
Qujing,0.050665872,0.329041546,-0.268031474,1
Yangshan County,0.075128193,0.154629566,-0.070002026,1
Bangkok,0.12945232,-0.139978585,0.280907895,2
Miyakonojo,0.347608258,0.137988843,0.219115398,1
Villahermosa,0.38946707,0.236544442,0.178780622,1
Guiyang,0.411285447,0.041824478,0.386107969,1
Gwangju,0.484881966,0.173373892,0.335722393,1
Bamako,1.010441157,0.046639343,0.992460434,1
