ModelDeltaTw,ModelUHICom,ModelUDICom,DN
-1.695815619,-0.354576431,-1.027070396,Day
-0.943206272,0.221471358,-1.087880774,Day
-0.33789417,0.416732549,-0.638471324,Day
-0.281920368,-0.314527218,0.026159755,Day
-0.226344926,0.094029594,-0.305440208,Day
-0.174507295,0.487904015,-0.590034227,Day
0.013658726,-0.088151552,0.087413433,Day
0.04059607,0.197912901,-0.152433564,Day
0.113222359,0.214921293,-0.105279788,Day
0.127034006,0.247690097,-0.118538147,Day
0.127556265,0.219341287,-0.065041419,Day
0.139082705,0.148138155,-0.012969243,Day
0.246952363,0.235829951,0.019976267,Day
0.415752938,0.344824925,0.06793624,Day
-1.367108551,-0.186586187,-1.019466916,Night
-0.137148053,0.511271249,-0.597236587,Night
0.331447038,0.358753125,-0.026573462,Night
0.331483957,0.282678783,0.04895592,Night
0.582843467,0.244445766,0.337408437,Night
0.628333238,0.717754176,-0.084310053,Night
0.643885829,0.666776502,-0.026151244,Night
0.645884101,0.584423508,0.080762041,Night
0.79067756,0.6192099,0.19726427,Night
0.8274542,0.5986992,0.236724663,Night
0.84624699,0.725861656,0.136503433,Night
0.934804276,0.7568532,0.266336324,Night
1.135002503,0.866311085,0.330319571,Night
1.210714603,0.934166259,0.307238527,Night
