ModelDeltaTw,ModelUHICom,ModelUDICom,DN
-1.236301285,-0.491518847,-0.628545827,Day
-1.209745198,-0.068494444,-1.049010712,Day
-1.199062476,0.043248789,-1.170984993,Day
-0.815668233,-0.072959272,-0.627927837,Day
-0.654760735,-0.065221133,-0.550035448,Day
-0.579743442,-0.049164859,-0.497834213,Day
-0.531115669,-0.066367104,-0.439235671,Day
-0.446688881,0.0853947,-0.516197969,Day
-0.428759797,0.035429307,-0.439072617,Day
-0.390026667,0.029501188,-0.384683228,Day
-0.364895009,0.210695273,-0.575068373,Day
-0.362612983,0.290482141,-0.630736234,Day
-0.339998598,0.214503432,-0.556675618,Day
-0.325514543,0.09052404,-0.400689081,Day
-0.300362506,-0.245180283,-0.027821908,Day
-0.237384986,0.268683971,-0.514041852,Day
-0.233780299,0.385572041,-0.612447322,Day
-0.23025072,0.071522963,-0.297943137,Day
-0.221917639,0.156911924,-0.371321419,Day
-0.220038905,0.105332946,-0.330356043,Day
-0.210508767,0.133528163,-0.340664527,Day
-0.206439922,0.026123192,-0.231009249,Day
-0.199660807,0.179344856,-0.371430849,Day
-0.176818471,0.248672842,-0.431440675,Day
-0.173402631,0.239816735,-0.405722494,Day
-0.173392416,0.344380506,-0.523473129,Day
-0.165679526,0.16909083,-0.338199983,Day
-0.154295557,0.172550416,-0.293528905,Day
-0.149759123,0.239597456,-0.395627306,Day
-0.140620256,0.059229571,-0.187667706,Day
-0.136476053,0.28586132,-0.42032344,Day
-0.122561716,0.095591126,-0.187993452,Day
-0.111528696,0.029674628,-0.109906743,Day
-0.10678523,0.162122795,-0.279908567,Day
-0.098164742,0.208919153,-0.313044794,Day
-0.092544468,0.476289426,-0.560995822,Day
-0.088293407,0.209012004,-0.296581865,Day
-0.07501731,0.209472182,-0.274604662,Day
-0.070431754,0.222422127,-0.286182427,Day
-0.069278827,0.172214903,-0.255749915,Day
-0.063741009,0.273183677,-0.357800498,Day
-0.060107971,0.131346529,-0.174056828,Day
-0.057927203,-0.03330674,-0.020311285,Day
-0.055516268,0.114609963,-0.139432403,Day
-0.05445849,0.1256336,-0.155231403,Day
-0.04772209,0.086632488,-0.131996098,Day
-0.045300134,0.20078168,-0.243847679,Day
-0.006613922,-0.007867714,0.012673357,Day
0.012544142,-0.017062098,0.036718215,Day
0.020420642,0.187304559,-0.186287493,Day
0.03478359,0.095601613,-0.072542776,Day
0.038223053,0.102353258,-0.06342457,Day
0.047188135,0.142207878,-0.094076187,Day
0.058862406,0.21359995,-0.144280003,Day
0.060151856,0.244488615,-0.186314871,Day
0.070273814,0.014047107,0.048892522,Day
0.072117785,0.108716586,-0.036862456,Day
0.096915324,0.24668136,-0.159357127,Day
0.131425932,0.281452513,-0.157937148,Day
0.141616233,-0.030942977,0.178364613,Day
0.144059134,0.077611146,0.084459418,Day
0.144651739,0.272982848,-0.117825695,Day
0.153131144,0.018873721,0.139950648,Day
0.169639262,0.319861803,-0.164117238,Day
0.182732288,0.366248474,-0.125023826,Day
0.190521711,0.274774315,-0.054641879,Day
0.245112999,0.380746262,-0.143538505,Day
0.248325505,0.369838672,-0.113275214,Day
0.297741942,0.235695597,0.039045466,Day
0.329191489,0.047496073,0.266709705,Day
0.356395174,-0.038874927,0.391790357,Day
0.363512004,0.373762088,0.007493069,Day
0.431893025,0.278640313,0.145617763,Day
0.47946872,0.41202799,0.047461533,Day
0.504785338,0.064994476,0.434506819,Day
0.583812139,-0.026884821,0.635244937,Day
0.598019749,0.534839828,0.050539595,Day
0.689544258,0.352532014,0.303765921,Day
0.915921994,0.544435633,0.371101246,Day
1.067307104,0.329809734,0.733157752,Day
1.244985471,0.36594868,0.89488369,Day
1.89025284,0.051032781,1.80190499,Day
-0.750109072,-0.144550955,-0.585947813,Night
-0.657165994,0.171413882,-0.782508606,Night
-0.542057482,0.276931957,-0.793270873,Night
-0.432197144,0.085971618,-0.529473167,Night
-0.418273699,0.248171326,-0.553929824,Night
-0.397643309,0.049794724,-0.405010969,Night
-0.334675159,0.008668309,-0.330044519,Night
-0.270892987,-0.10070005,-0.150373766,Night
-0.225371588,0.329826577,-0.550459542,Night
-0.160981759,0.178557993,-0.337678091,Night
-0.104783484,0.240552158,-0.329060909,Night
-0.096060563,0.207833861,-0.301971049,Night
-0.009371558,0.204374811,-0.23162917,Night
0.00175474,0.263826403,-0.257942348,Night
0.032153616,0.404554225,-0.387111408,Night
0.033468594,0.413886196,-0.393245867,Night
0.039444694,0.3625066,-0.321643152,Night
0.066184492,0.10958254,-0.043846049,Night
0.103904011,0.409631833,-0.251246998,Night
0.130173274,0.190022074,-0.069778986,Night
0.192025248,0.270684184,-0.100170572,Night
0.213922231,0.295313146,-0.099316795,Night
0.223326402,0.487309505,-0.240094015,Night
0.257591014,0.473312982,-0.196215067,Night
0.271524008,0.381712488,-0.127941485,Night
0.301838854,0.129964103,0.176350118,Night
0.314429284,0.395727282,-0.083036967,Night
0.317383363,0.446930525,-0.141419947,Night
0.328587122,0.512704311,-0.19601873,Night
0.333786917,0.362384611,-0.039722058,Night
0.343305559,0.412343365,-0.079841004,Night
0.348384196,0.545251484,-0.212005888,Night
0.351122956,0.244928564,0.100351441,Night
0.360124741,0.479790514,-0.112284607,Night
0.370894444,0.597496277,-0.141351303,Night
0.389318783,0.437872784,-0.040398141,Night
0.413314985,0.522143676,-0.121745679,Night
0.422688885,0.379224357,0.034484256,Night
0.429143959,0.484981146,-0.067777955,Night
0.434948985,0.371921911,0.041204709,Night
0.435226275,0.500608267,-0.054594498,Night
0.447640001,0.345231547,0.118152275,Night
0.528032062,0.361603862,0.155165133,Night
0.532883327,0.517887436,0.018972668,Night
0.562025062,0.570856757,-0.005140705,Night
0.576889082,0.14067151,0.440138245,Night
0.584157315,0.677372679,-0.093067309,Night
0.592340512,0.561167686,0.032165705,Night
0.625091341,0.628821265,0.00582803,Night
0.62899991,0.555290597,0.065493206,Night
0.635285821,0.710067902,-0.064152426,Night
0.660352415,0.655345877,0.004151728,Night
0.687421364,0.638609015,0.060136991,Night
0.709043957,0.784785929,-0.073049367,Night
0.726878961,0.844796108,-0.110978935,Night
0.729690892,0.737181614,0.010991633,Night
0.748778327,0.740594572,0.03159961,Night
0.758927898,0.863307642,-0.028720346,Night
0.781098833,0.741301653,0.053604644,Night
0.798275638,0.794481666,0.023274739,Night
0.843813802,0.661534532,0.192075604,Night
0.862358621,0.567272846,0.298543777,Night
0.877306941,0.799905292,0.100914231,Night
0.907839227,0.840307235,0.113425665,Night
0.914537651,1.032479219,-0.094576936,Night
0.924826997,0.856102623,0.092212654,Night
0.953050621,0.698488675,0.256061657,Night
0.956572309,0.779431673,0.188354435,Night
1.002563913,0.469720015,0.532672498,Night
1.021819008,0.565095484,0.444774446,Night
1.181901146,0.947509614,0.261687559,Night
1.243404786,1.142116875,0.248352526,Night
1.244252768,1.032424441,0.252459615,Night
1.257554739,0.946900224,0.361255228,Night
1.30882273,1.035689571,0.312311624,Night
1.354788969,1.028118461,0.356990594,Night
1.388449847,1.177094617,0.237084398,Night
1.418135824,1.151930209,0.323221066,Night
1.606141173,1.017155303,0.698160918,Night
1.663178682,1.468257889,0.402574292,Night
1.664283719,0.966277712,0.733941536,Night
1.749191414,0.675332255,1.112365492,Night
