City,DeltaTw,UHI Com,UDI Com,DN,Number of Pairs
"Phoenix, AZ",-1.197353155,0.034999016,-1.181917326,Day,1
"Phoenix, AZ",-1.160543971,-0.088648738,-1.026845313,Day,1
La Verriere,-0.449540725,-0.208521327,-0.226605493,Day,1
"Phoenix, AZ",-0.444438193,0.250259233,-0.678838644,Day,1
Aix-en-Provence,-0.1704805,0.168500567,-0.328372502,Day,1
Lugo,-0.105688467,0.281421718,-0.379333539,Day,1
Melbourne,-0.028155399,0.279833063,-0.285150423,Day,1
Melbourne,0.023392844,0.298628852,-0.254232408,Day,1
Perth,0.085752257,-0.479058169,0.576959525,Day,1
Girona,0.130765337,-0.027271789,0.170204201,Day,1
Adelaide,0.340552933,-0.279108552,0.654564005,Day,1
"San Jose, CA",0.642606589,0.731255131,-0.047807521,Day,1
Santiago,0.708373381,0.374767163,0.349718536,Day,2
Adapazar,0.863229054,0.079311926,0.815146933,Day,1
Santiago,-0.201181153,-0.335635718,0.138057357,Night,2
"Phoenix, AZ",-0.187768674,0.596561326,-0.748634075,Night,1
Melbourne,-0.049257891,0.319411688,-0.340388229,Night,1
"Phoenix, AZ",-0.035413975,0.464037624,-0.464206173,Night,1
Lugo,0.302388864,0.269831224,0.042274552,Night,1
Girona,0.310326857,0.406026685,-0.082777169,Night,1
La Verriere,0.566357549,0.706603883,-0.120977576,Night,1
"Phoenix, AZ",0.582214356,1.415348181,-0.809951242,Night,1
Perth,0.637985571,0.193654035,0.469533146,Night,1
Aix-en-Provence,0.95096183,0.552218875,0.428070427,Night,1
Melbourne,0.964953272,1.072347482,-0.068418609,Night,1
"San Jose, CA",1.147557211,0.936148574,0.263870252,Night,1
Adelaide,1.337302179,0.750246041,0.667930191,Night,1
Adapazar,2.827727918,1.419835972,1.604073462,Night,1
