City,DeltaTw,UHI Com,UDI Com,DN,Number of Pairs
Ningxiang,-1.485957024,-0.009712364,-1.419908447,Day,1
Quebec City,-1.205680929,-0.188789583,-0.971006102,Day,1
Accra,-1.195116532,-0.398146268,-0.76082044,Day,1
Xingyang,-1.174202313,0.342093283,-1.4678593,Day,1
Xixia County,-1.101203281,-0.13906742,-0.915784929,Day,1
Hamilton,-1.064003775,-0.027381106,-0.981068701,Day,1
"New Orleans, LA",-0.9652087,0.210888297,-1.140045258,Day,1
Curitiba,-0.950236984,0.364677515,-1.231215571,Day,1
Rustenburg,-0.770921716,-0.304570704,-0.426659623,Day,1
Qiyang County,-0.733953727,0.109531245,-0.80743677,Day,1
Jinzhou,-0.731298559,0.170057778,-0.874637622,Day,1
"Houston, TX",-0.664529744,0.181196658,-0.814861098,Day,1
Laizhou,-0.619855607,0.112348089,-0.700039453,Day,1
Maringa,-0.619568243,-0.030000351,-0.563356278,Day,1
Frankfurt,-0.560410194,-0.028956817,-0.515110096,Day,1
Kanchanaburi,-0.538942272,0.094097548,-0.616978323,Day,1
Bloemfontein,-0.535078923,-0.199996135,-0.318055034,Day,1
Montbeliard,-0.486592911,0.089732069,-0.559749094,Day,1
Liuyang,-0.43913558,-0.227115911,-0.192546592,Day,1
Montreal,-0.420434985,0.136526415,-0.542348533,Day,1
Toronto,-0.402058504,0.341424436,-0.733206101,Day,2
Petrolina,-0.395887787,-0.137067459,-0.247553218,Day,1
Kumasi,-0.388649895,0.047852267,-0.427781609,Day,1
Itapeva,-0.385263236,0.070920867,-0.440624541,Day,1
Jinan,-0.34172116,0.163400973,-0.492929046,Day,1
Gaomi,-0.336822837,0.226850849,-0.547285903,Day,1
Qufu,-0.335987938,0.130168218,-0.449166052,Day,1
Junan County,-0.332947635,-0.091839919,-0.230355885,Day,1
Berlin,-0.316744508,0.124446821,-0.431607375,Day,2
Linz,-0.294990933,0.108053275,-0.393979205,Day,1
"Harrisburg, PA",-0.285808349,0.140374151,-0.417337986,Day,4
Vienna,-0.278243915,0.108580828,-0.375849712,Day,1
Stuttgart,-0.269853222,0.240114907,-0.49919374,Day,1
"Rochester, MN",-0.231112757,-0.091281013,-0.130262637,Day,1
Lankao County,-0.230772852,-0.043484318,-0.173082047,Day,1
Zhoukou,-0.229290007,0.072708268,-0.296315837,Day,1
London,-0.21742978,0.050571276,-0.254809451,Day,1
"Oklahoma City, OK",-0.206825652,0.12911821,-0.331464614,Day,1
Sheffield,-0.205614994,0.129941712,-0.326220241,Day,1
Anlu,-0.195044097,0.01717781,-0.197093111,Day,1
Paris,-0.189746338,0.05265866,-0.229273915,Day,1
Huairen,-0.165793226,0.111064807,-0.267587419,Day,1
Moscow,-0.162229425,0.162246485,-0.31681046,Day,1
Uppsala,-0.158211589,0.180282586,-0.334898525,Day,1
Wulian County,-0.14961242,0.134811435,-0.271550895,Day,1
Strasbourg,-0.134224343,-0.082595891,-0.044589876,Day,1
Xihua County,-0.111814065,-0.02472396,-0.076063497,Day,1
Zhuozhou,-0.105888445,-0.090603732,0.001910269,Day,1
Nakhon Ratchasima,-0.081954324,-0.017785112,-0.031387625,Day,1
Songzi,-0.073089403,-0.120583753,0.065155431,Day,1
Birmingham,-0.061625954,0.135943562,-0.193187264,Day,15
Anshan,-0.054630816,0.403542042,-0.433865666,Day,1
Tianjin,-0.045426805,0.061724907,-0.081775312,Day,1
Stockholm,-0.022657883,0.238671746,-0.254268255,Day,1
Zacatecas,-0.014614071,-0.109187772,0.112547117,Day,1
Munich,-0.014181397,0.435090881,-0.439658267,Day,1
Pori,-0.011840506,-0.319801078,0.321635308,Day,1
Winnipeg,-0.00441955,0.117384299,-0.11242877,Day,1
Tianjin,0.003265909,-0.025995127,0.038216165,Day,1
Graz,0.041672717,0.263929399,-0.205717764,Day,1
"Springdale, AR",0.05555203,-0.06704459,0.13992604,Day,1
Yuncheng County,0.101914805,0.083112173,0.029865011,Day,1
Longxi County,0.117716052,0.262808665,-0.131218621,Day,1
Changyuan,0.135295635,0.086531217,0.064286188,Day,1
Georgiyevsk,0.137329357,0.087133059,0.057387866,Day,1
Oslo,0.144267401,0.10861646,0.050114091,Day,1
"St. Louis, MI",0.201541418,0.221420365,-0.008858055,Day,1
Dar es Salaam,0.206605715,-0.009674218,0.225226434,Day,1
Zurich,0.250819061,0.094677371,0.166001471,Day,1
Shaoxing,0.291616812,0.139384329,0.165417674,Day,1
Brisbane,0.329428208,-0.422453391,0.7707498,Day,1
Kampala,0.342937129,0.117969345,0.240372893,Day,1
Jena,0.365580219,0.406465811,-0.029900792,Day,1
Rovaniemi,0.372913645,0.161533897,0.216623618,Day,1
Oslo,0.373468009,0.19592126,0.195375598,Day,1
Sarpsborg,0.408749963,0.125574123,0.301944467,Day,1
Puebla,0.545660219,0.031290791,0.535650643,Day,1
Morelia,0.548975219,0.051928324,0.528070206,Day,1
Limoges,0.717565502,0.451783492,0.295901143,Day,1
