City,DeltaTw,UHI Com,UDI Com,DN,Number of Pairs
Guadalajara,-0.641881981,-0.188319499,-0.432171194,Day,1
Guangzhou,-0.538411258,0.09360569,-0.614336453,Day,1
Yangchun,-0.443875313,-0.087653255,-0.339320558,Day,1
Manaus,-0.393104898,0.066516653,-0.443804134,Day,1
Guilin,-0.389743923,0.090411039,-0.46916592,Day,1
Presidente Prudente,-0.377368442,0.002253402,-0.362754063,Day,1
Surin,-0.279996805,0.098268684,-0.353643809,Day,1
Foshan,-0.041166627,0.096290669,-0.121608143,Day,1
Yangshan County,0.041403254,0.126720006,-0.073491234,Day,1
Qujing,0.11786938,0.317597808,-0.189582483,Day,1
Miyakonojo,0.339644706,0.091658039,0.263039934,Day,1
Gwangju,0.373446128,0.081930999,0.318057375,Day,1
Guiyang,0.431960729,-0.014374367,0.463293014,Day,1
Bangkok,0.476207434,0.307894026,0.193913457,Day,2
Villahermosa,0.665832765,0.230496895,0.453569804,Day,1
Bamako,1.204278279,-0.135274215,1.378582081,Day,1
Yangchun,-0.393007833,0.01034753,-0.389170994,Night,1
Guangzhou,-0.288162069,0.170502395,-0.44954422,Night,1
Guilin,-0.261651169,0.346604633,-0.590980417,Night,1
Surin,-0.108312101,-0.067789683,-0.01896355,Night,1
Bamako,0.124791228,-0.02329618,0.153508342,Night,1
Bangkok,0.149271015,0.00186012,0.169447199,Night,2
Manaus,0.163100645,0.481134506,-0.306257207,Night,1
Qujing,0.226920834,0.439193361,-0.199242934,Night,1
Foshan,0.23487701,0.254087986,-0.003058451,Night,1
Yangshan County,0.270714928,0.176445991,0.1073719,Night,1
Guiyang,0.339257449,0.070318449,0.281899688,Night,1
Miyakonojo,0.483170037,0.083605498,0.415584924,Night,1
Presidente Prudente,0.529423306,0.82940654,-0.278362034,Night,1
Guadalajara,0.829597946,1.027474095,-0.159524073,Night,1
Gwangju,0.899599461,0.480650222,0.45845896,Night,1
Villahermosa,1.209822625,0.758165524,0.501791531,Night,1
