Source,StationID,StationName,Type,Latitude,Longitude,Elevation,Timezone,YearStart,YearEnd,Climate
Integrated Surface Database,72097299999,ST MARY HOSPITAL HELIPORT,Urban,44.016667,-92.483333,355,-6,2015,2019,Inter
Integrated Surface Database,72659604978,DODGE CENTER ARPT,Rural,44.01778,-92.83139,397.76,-6,2015,2019,Inter
Integrated Surface Database,72343403973,SPRINGDALE MUNICIPAL ARPT,Urban,36.16667,-94.11667,412.4,-6,2015,2019,Inter
Integrated Surface Database,72343653922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT,Rural,36.28333,-94.3,392.28,-6,2015,2019,Inter
Integrated Surface Database,72059400188,HOUSTON DUNN HELISTOP,Urban,29.714664,-95.394764,69.19,-6,2010,2019,Inter
Integrated Surface Database,72061700208,HOUSTON EXECUTIVE AIRPORT,Rural,29.8,-95.9,51.21,-6,2010,2019,Inter
Integrated Surface Database,72046699999,SUPERDOME HELIPORT,Urban,29.95,-90.083333,15.24,-6,2013,2015,Inter
Integrated Surface Database,72104699999,"LOUISIANA REGIONAL AIRPORT GONZALES, LA US",Rural,30.167418,-90.940606,4.27,-6,2013,2015,Inter
Integrated Surface Database,72494693232,SAN JOSE REID HILLVIEW AIRPORT,Urban,37.33333,-121.81667,40.54,-8,2015,2019,Dry
Integrated Surface Database,74917900392,HOLLISTER MUNICIPAL AIRPORT,Rural,36.9,-121.417,72.24,-8,2015,2019,Dry
Oklahoma mesonet ,129,Oklahoma City West,Urban,35.47112,-97.58245,366,-6,2013,2015,Inter
Oklahoma mesonet ,87,Spencer,Rural,35.54208,-97.34146,373,-6,2013,2015,Inter
Arizona mesonet,29,Mesa,Urban,33.386786,-111.867431,368,-7,2015,2019,Dry
Arizona mesonet,22,Queen Creek,Rural,33.193943,-111.532582,462,-7,2015,2019,Dry
Arizona mesonet,15,Phoenix Encanto,Urban,33.478443,-112.098046,334,-7,2015,2019,Dry
Arizona mesonet,26,Buckeye,Rural,33.409193,-112.677836,301,-7,2015,2019,Dry
Arizona mesonet,12,Phoenix Greenway,Urban,33.623279,-112.107687,403,-7,2015,2019,Dry
Arizona mesonet,26,Buckeye,Rural,33.409193,-112.677836,301,-7,2015,2019,Dry
"Moyer and Hawkins, 2017",317,River7,Urban,40.275775,-76.86083333,123,-5,2014,2015,Inter
"Moyer and Hawkins, 2017",330,River20,Rural,40.16898333,-76.95722222,138,-5,2014,2015,Inter
"Moyer and Hawkins, 2017",312,River8,Urban,40.25738889,-76.86083333,109,-5,2014,2015,Inter
"Moyer and Hawkins, 2017",330,River20,Rural,40.16898333,-76.95722222,138,-5,2014,2015,Inter
"Moyer and Hawkins, 2017",326,River16,Urban,40.23974722,-76.925,123,-5,2014,2015,Inter
"Moyer and Hawkins, 2017",330,River20,Rural,40.16898333,-76.95722222,138,-5,2014,2015,Inter
"Moyer and Hawkins, 2017",328,River18,Urban,40.23285,-76.94583333,122,-5,2014,2015,Inter
"Moyer and Hawkins, 2017",330,River20,Rural,40.16898333,-76.95722222,138,-5,2014,2015,Inter
EPA AQS (USA),299510985,29_510_85,Urban,38.656429,-90.198348,150,-6,2015,2019,Inter
Integrated Surface Database,72434753904,ST CHARLES CO SMARTT ARPT,Rural,38.92861,-90.42806,132.89,-6,2015,2019,Inter
DWD Climate Data Center (Germany),75184926,Stuttgart (Neckartal),Urban,48.7896,9.2167,224,1,2009,2013,Inter
DWD Climate Data Center (Germany),75183362,Mhlacker,Rural,48.9721,8.8734,244,1,2009,2013,Inter
