iter	RMSE
0	0.3937192791
1	0.3909135931
2	0.3881385011
3	0.3854058656
4	0.3826912241
5	0.3800042771
6	0.3773570018
7	0.3747361998
8	0.3721377304
9	0.3695593228
10	0.3670124253
11	0.3645147972
12	0.3620394315
13	0.3595788161
14	0.3571599771
15	0.3547569863
16	0.3523552962
17	0.3500176994
18	0.3476908763
19	0.345395542
20	0.3431105834
21	0.340869624
22	0.3386410125
23	0.3364384966
24	0.3342546498
25	0.332083999
26	0.3299404571
27	0.3278223753
28	0.3257199477
29	0.3236569833
30	0.3215906052
31	0.3195627222
32	0.3175499756
33	0.3155640042
34	0.3135997063
35	0.3116653418
36	0.3097429408
37	0.3078345425
38	0.3059433921
39	0.3040759744
40	0.3022586322
41	0.3004570251
42	0.2986505922
43	0.2968685064
44	0.2950981321
45	0.2933535816
46	0.2916223238
47	0.2899283815
48	0.2882424112
49	0.2865811441
50	0.2849372907
51	0.2833097577
52	0.2817044948
53	0.2801045774
54	0.2785206638
55	0.2769372148
56	0.2753789772
57	0.273840007
58	0.2723150747
59	0.2708253305
60	0.2693662951
61	0.2679102852
62	0.2664500961
63	0.2650159748
64	0.2636047
65	0.2621870466
66	0.2608043094
67	0.2594339867
68	0.2580744742
69	0.2567293907
70	0.2553917082
71	0.2540875223
72	0.2527872335
73	0.2514949454
74	0.2502165653
75	0.2489702196
76	0.2477398067
77	0.2465079966
78	0.2452945475
79	0.2440903212
80	0.2429032416
81	0.2417350686
82	0.2405894385
83	0.2394403561
84	0.2382951332
85	0.2371633225
86	0.2360469179
87	0.2349484212
88	0.2338486895
89	0.2327828163
90	0.2317369004
91	0.2306926283
92	0.2296548731
93	0.2286260764
94	0.2276067331
95	0.2265908601
96	0.2256113085
97	0.2246288834
98	0.2236625936
99	0.2227193415
100	0.2217707553
101	0.220821418
102	0.2198922873
103	0.2189731528
104	0.2180545923
105	0.2171563261
106	0.2162758072
107	0.2153990678
108	0.2145232828
109	0.2136659978
110	0.2128175303
111	0.2119703161
112	0.2111352352
113	0.210311673
114	0.209481767
115	0.2086778975
116	0.2078901507
117	0.2070995163
118	0.2063319486
119	0.2055722853
120	0.2048199536
121	0.204066787
122	0.2033188526
123	0.2025735616
124	0.2018252175
125	0.2010938402
126	0.2003827414
127	0.1996747065
128	0.1989746169
129	0.1982758272
130	0.1975909794
131	0.1969058206
132	0.196235477
133	0.1955740238
134	0.1949184892
135	0.1942527927
136	0.1936077428
137	0.1929540261
138	0.1923272391
139	0.1916919669
140	0.1910808277
141	0.1904776845
142	0.1898795067
143	0.1892792459
144	0.1886942536
145	0.1881283617
146	0.187561595
147	0.1869769453
148	0.1864011857
149	0.1858518119
150	0.1853183566
151	0.1847611989
152	0.1842289935
153	0.183695964
154	0.1831724953
155	0.1826447619
156	0.1821389455
157	0.1816364685
158	0.1811262653
159	0.1806087894
160	0.1801282372
161	0.179636808
162	0.1791428685
163	0.178660238
164	0.1781749465
165	0.1777064627
166	0.1772401671
167	0.1767664672
168	0.1762849983
169	0.1758259957
170	0.1753750924
171	0.1749228879
172	0.174489928
173	0.1740456825
174	0.1736024792
175	0.1731828306
176	0.1727507729
177	0.1723338027
178	0.1719059903
179	0.1714875328
180	0.1710788638
181	0.1706630245
