iter	Passed	Remaining
0	26	2619609
1	33	1653955
2	39	1330275
3	46	1168864
4	53	1071755
5	60	1005585
6	66	956113
7	73	920757
8	80	892424
9	86	869168
10	93	851642
11	100	836744
12	107	824263
13	113	811802
14	120	801031
15	126	793171
16	133	784159
17	140	778507
18	146	771763
19	153	767359
20	160	762486
21	166	757706
22	173	753227
23	179	748746
24	186	745663
25	193	742354
26	199	739553
27	206	737108
28	213	734285
29	219	732009
30	226	729478
31	236	739052
32	243	736959
33	250	735452
34	256	733003
35	263	730507
36	269	728806
37	276	727172
38	282	724731
39	289	723570
40	296	722487
41	302	719729
42	308	716470
43	314	713857
44	319	710717
45	325	707772
46	331	704960
47	337	703026
48	343	700713
49	349	698490
50	355	695843
51	360	693762
52	366	691427
53	372	689709
54	378	687497
55	384	685488
56	389	683178
57	395	681125
58	401	679630
59	407	678026
60	412	676347
61	418	675248
62	424	674132
63	430	672503
64	437	671922
65	443	670884
66	449	669755
67	454	668644
68	460	667335
69	466	666633
70	472	665680
71	478	664404
72	484	663402
73	490	662341
74	496	661329
75	502	660219
76	508	659296
77	513	658161
78	519	657175
79	525	656254
80	531	655547
81	537	654984
82	543	654355
83	549	653401
84	554	652336
85	560	651390
86	566	650716
87	572	649861
88	578	649105
89	584	648438
90	589	647658
91	595	647166
92	601	646344
93	607	645550
94	613	645009
95	619	644539
96	625	643862
97	631	643354
98	637	643031
99	643	642441
100	649	642014
101	655	641515
102	660	640990
103	666	640472
104	672	640129
105	678	639718
106	684	638949
107	690	638497
108	696	637918
109	701	637397
110	707	637026
111	713	636697
112	719	636359
113	725	635880
114	731	635207
115	737	634988
116	743	634713
117	749	634454
118	755	633959
119	761	633550
120	767	633196
121	773	632929
122	779	632577
123	784	632145
124	790	631956
125	796	631567
126	802	631135
127	808	630803
128	814	630879
129	821	630758
130	826	630436
131	832	630143
132	839	630056
133	845	629842
134	851	629587
135	857	629354
136	863	629125
137	868	628832
138	874	628449
139	880	628174
140	886	628007
141	892	627806
142	898	627518
143	904	627265
144	910	627031
145	916	626695
146	922	626362
147	928	626390
148	934	626093
149	940	626039
150	946	625667
151	952	625646
152	958	625430
153	963	624992
154	969	624727
155	975	624503
156	981	624192
157	987	623817
158	993	623752
159	999	623750
160	1005	623530
161	1011	623408
162	1017	623280
163	1023	623109
164	1029	622944
165	1035	622972
166	1041	622743
167	1047	622634
168	1054	622636
169	1060	622494
170	1065	622198
171	1071	622013
172	1077	621879
173	1083	621713
174	1089	621652
175	1095	621436
176	1101	621399
177	1107	621247
178	1113	621061
179	1119	620972
180	1125	620936
181	1132	620981
182	1138	620742
183	1144	620778
184	1150	620673
185	1156	620437
186	1161	620173
187	1167	620004
188	1173	619889
189	1185	622874
190	1191	622827
191	1197	622695
192	1203	622433
193	1209	622261
194	1215	622020
195	1220	621733
196	1227	621678
197	1233	621563
198	1239	621444
199	1245	621417
200	1251	621472
201	1257	621210
202	1263	621093
203	1269	620984
204	1275	620934
205	1281	620848
206	1287	620685
207	1293	620581
208	1299	620525
209	1305	620376
210	1311	620157
211	1316	619886
212	1323	619833
213	1329	619756
214	1335	619790
215	1341	619558
216	1346	619337
217	1352	619200
218	1358	619144
219	1365	619205
220	1371	619067
221	1377	618900
222	1383	618912
223	1389	619140
224	1396	619133
225	1401	618913
226	1407	618845
227	1413	618712
228	1419	618661
229	1426	618635
230	1432	618695
231	1438	618597
